evaluation,observed_energy,best_energy
1,-79.66,-79.66
2,-79.56,-79.66
3,-77.19,-79.66
4,-77.62,-79.66
5,-78.69,-79.66
6,-81.79,-81.79
7,-81.13,-81.79
8,-72.51,-81.79
9,-67.35,-81.79
10,-72.47,-81.79
11,-83.93,-83.93
12,-80.45,-83.93
13,-88.56,-88.56
14,-76.15,-88.56
15,-65.59,-88.56
16,-64.89,-88.56
17,-77.35,-88.56
18,-77.46,-88.56
19,-71.81,-88.56
20,-81.67,-88.56
21,-90.35,-90.35
22,-79.31,-90.35
23,-71.43,-90.35
24,-95.2,-95.2
25,-83.57,-95.2
26,-87.9,-95.2
27,-98.09,-98.09
28,-98.09,-98.09
29,-98.09,-98.09
30,-98.09,-98.09
31,-98.1,-98.1
32,-98.09,-98.1
33,-98.09,-98.1
34,-98.09,-98.1
35,-98.09,-98.1
36,-98.09,-98.1
37,-98.09,-98.1
38,-98.09,-98.1
39,-98.09,-98.1
40,-98.09,-98.1
41,-98.1,-98.1
42,-98.09,-98.1
43,-98.1,-98.1
44,-98.1,-98.1
45,-98.1,-98.1
46,-98.09,-98.1
47,-98.09,-98.1
48,-98.09,-98.1
49,-98.09,-98.1
50,-98.1,-98.1
51,-98.1,-98.1
52,-95.88,-98.1
53,-98.1,-98.1
54,-95.55,-98.1
55,-98.1,-98.1
56,-98.09,-98.1
57,-98.1,-98.1
