iteration,candidate_id,bit_cap,key_group_size,value_group_size,residual_length,proposal_repaired,selection_score,best_selection_score,final_score_hotpotqa,effective_kv_bits,kv_compression_ratio,runtime_seconds,acquisition_score,predicted_mean,predicted_std,surrogate_fit_status,surrogate_history_size,proposal_latency_seconds,prompt_tokens,completion_tokens
1,quantizer-dd19f6c383f5,3,64,64,32,False,0.4979345,0.4979345,40.0,3.101562,5.15869,153.204105,0.25,0.0,0.25,prior,0,5.000835346058011,93,205
2,quantizer-ad8f9bd8b87c,4,64,64,64,False,0.3110448,0.4979345,20.0,4.1875,3.820896,18.099496,0.7479345,0.4979345,0.25,fallback,1,4.823403314920142,297,204
3,quantizer-e38a2722ee5c,4,128,128,16,False,0.26827163600000004,0.4979345,11.764706,4.046875,3.953668,17.68934,0.49793450100000003,0.40448965000000003,0.093444851,fitted,2,4.833628749009222,497,205
4,quantizer-e143fd310151,3,64,64,64,False,0.4897561,0.4979345,40.0,3.203125,4.995122,18.82064,0.40519025195150676,0.4044850880294827,0.0007051639220240578,fitted,3,4.838920125970617,718,204
5,quantizer-8d3a30655c3b,3,64,64,64,True,0.4748624,0.4979345,40.0,3.40625,4.697248,18.248573,0.49499973739936626,0.39175175900000003,0.10324797839936624,fitted,4,4.875175125896931,922,205
6,quantizer-2a6c6bc4c954,2,64,64,128,False,0.41391943400000003,0.4979345,14.285714,2.4375,6.564103,18.172323,0.4758328020839988,0.474851311153911,0.0009814909300878063,fitted,5,4.91772261611186,1128,205
7,quantizer-947053535bdc,4,32,32,128,False,0.316190482,0.4979345,22.222222,4.375,3.657143,18.68166,0.44501925838934653,0.44438552473043935,0.000633733658907152,fitted,6,4.893352957908064,1142,207
8,quantizer-4ab21fa9c3b3,4,64,64,32,False,0.31541985,0.4979345,20.0,4.09375,3.908397,17.450805,0.43341949291984,0.4329048264837767,0.0005146664360632982,fitted,7,5.091285373084247,1147,206
9,quantizer-dca5d67cd9ea,3,128,128,128,False,0.4748624,0.4979345,40.0,3.40625,4.697248,18.552993,0.471820853959805,0.4049307974763911,0.0668900564834139,fitted,8,5.091080426936969,1129,206
10,quantizer-cd2aa1b884b5,4,64,64,16,False,0.3176834,0.4979345,20.0,4.046875,3.953668,18.293023,0.4039679532766627,0.40353226196976316,0.00043569130689949815,fitted,9,4.920988982077688,1128,204
11,quantizer-e1a6bc35bff6,3,32,32,128,False,0.29200526000000004,0.4979345,9.52381,3.40625,4.697248,17.911651,0.40215510436591445,0.40165902338230675,0.0004960809836076895,fitted,10,4.883081436157227,1126,205
12,quantizer-345c902810d8,3,32,32,32,False,0.31507736,0.4979345,9.52381,3.101562,5.15869,19.313141,0.38674990160665795,0.38636328786271695,0.00038661374394102066,fitted,11,4.824206023011357,1122,204
13,quantizer-584b3952aedd,4,32,32,64,False,0.324378132,0.4979345,22.222222,4.1875,3.820896,19.174974,0.3748282883962883,0.3744827080435668,0.0003455803527214787,fitted,12,4.873158668866381,1126,206
14,quantizer-4f68f1af2fea,4,32,32,128,True,0.30175438200000004,0.4979345,22.222222,4.75,3.368421,17.894916,0.3746589510714596,0.37424699015943497,0.00041196091202458645,fitted,13,5.067439845064655,1131,206
15,quantizer-c43619b3e980,3,16,16,64,False,0.320344336,0.4979345,11.764706,3.203125,4.995122,18.402556,0.36763253412202845,0.36732515622985534,0.0003073778921731246,fitted,14,4.966359572950751,1140,204
16,quantizer-7d7f56e1afed,4,32,32,128,True,0.3176834,0.4979345,20.0,4.046875,3.953668,18.630987,0.36173330688747163,0.36145272398727935,0.00028058290019229796,fitted,15,4.839515098836273,1149,204
17,quantizer-f9203b4c641f,4,64,64,32,True,0.30285715,0.4979345,20.0,4.375,3.657143,18.402687,0.36009597174764757,0.35974896489305286,0.0003470068545947099,fitted,16,4.974512297892943,1140,204
18,quantizer-d3039b88825f,3,16,64,16,False,0.33281613600000004,0.4979345,11.764706,3.050781,5.244558,18.331203,0.35684440486773344,0.35658958497798543,0.0002548198897480097,fitted,17,5.126311077037826,1132,204
19,quantizer-664c882cc6d1,4,16,64,64,False,0.324378132,0.4979345,22.222222,4.1875,3.820896,20.092034,0.3544478503904883,0.3542123120361669,0.00023553835432144434,fitted,18,4.933779611019418,1144,204
20,quantizer-a2287b200c17,4,32,16,32,False,0.31541985,0.4979345,20.0,4.09375,3.908397,20.175559,0.3517197338193627,0.35150018718653425,0.00021954663282846038,fitted,19,4.784565096022561,1140,203
