evaluation,round_idx,smiles,vina,predicted_activity
1,0,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(F)c2)CC1,-9.4,5.717685017919763
2,1,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(I)c2)CC1,-8.0,5.334435877964114
3,2,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C#N)c2)CC1,-8.5,5.872594902104019
4,3,COc1cccc(NC(=O)C2CCN(S(C)(=O)=O)CC2)c1,-8.2,5.233515386384558
5,4,CCS(=O)(=O)N1CCC(C(=O)Nc2cccc(OC)c2)CC1,-8.4,5.327424474948178
6,5,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(CF)c2)CC1,-8.8,5.514810965181848
7,6,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(Cl)c2)CC1,-9.0,5.392229660379885
8,7,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)F)c2)CC1,-9.6,6.285959775348656
9,8,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(O)c2)CC1,-8.7,5.501967029188638
10,9,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(S(=O)c3ccccc3)c2)CC1,-10.1,5.018443532527421
11,10,CSCc1cccc(NC(=O)C2CCN(S(C)(=O)=O)CC2)c1,-8.2,5.29240768206202
12,11,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,-9.7,6.33721285207928
13,12,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)c3ccccc3)c2)CC1,-10.3,5.7207146809005565
14,13,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(CC(F)F)c2)CC1,-9.5,5.830931205027128
15,14,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(Cn3ccnc3)c2)CC1,-9.1,5.240095643554281
16,15,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(-c3ccccc3)c2)CC1,-10.3,5.360938759086996
17,16,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(CC(F)(F)F)c2)CC1,-9.6,6.023173996385384
18,17,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(CC(F)(F)CF)c2)CC1,-9.1,5.841385636442159
19,18,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(CN3CCNCC3)c2)CC1,-9.2,5.241407911193838
20,19,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)C(F)(F)F)c2)CC1,-9.8,6.285497163561508
21,20,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)I)c2)CC1,-9.3,6.070442566250421
22,21,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)Br)c2)CC1,-9.4,6.172391728066792
23,22,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)c3ccccc3)c2)CC1,-9.8,5.834256703478367
24,23,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)Cl)c2)CC1,-9.7,6.110404473405748
25,24,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)C#N)c2)CC1,-9.7,6.478514430123958
26,25,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)CN)c2)CC1,-9.4,5.880743001661936
27,26,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)C(F)(F)CF)c2)CC1,-9.3,6.229525107928546
28,27,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)S)c2)CC1,-9.1,6.098576760246112
29,28,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)c3cccc(N)c3)c2)CC1,-9.8,6.318919581516918
30,29,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(C(F)(F)c3cccc(F)c3)c2)CC1,-10.6,6.045722951488777
