evaluation,run,hypervolume
0,delta_small_molecule_ehvi_100,0.0
1,delta_small_molecule_ehvi_100,6.746239168445771
2,delta_small_molecule_ehvi_100,6.746239168445771
3,delta_small_molecule_ehvi_100,8.062973184011952
4,delta_small_molecule_ehvi_100,8.062973184011952
5,delta_small_molecule_ehvi_100,8.062973184011952
6,delta_small_molecule_ehvi_100,8.062973184011952
7,delta_small_molecule_ehvi_100,8.062973184011952
8,delta_small_molecule_ehvi_100,12.345213843347093
9,delta_small_molecule_ehvi_100,12.345213843347093
10,delta_small_molecule_ehvi_100,12.354435609610803
11,delta_small_molecule_ehvi_100,12.354435609610803
12,delta_small_molecule_ehvi_100,12.978342078179983
13,delta_small_molecule_ehvi_100,13.40339347370935
14,delta_small_molecule_ehvi_100,13.40339347370935
15,delta_small_molecule_ehvi_100,13.40339347370935
16,delta_small_molecule_ehvi_100,13.40339347370935
17,delta_small_molecule_ehvi_100,13.40339347370935
18,delta_small_molecule_ehvi_100,13.40339347370935
19,delta_small_molecule_ehvi_100,13.40339347370935
20,delta_small_molecule_ehvi_100,13.459871721975446
21,delta_small_molecule_ehvi_100,13.459871721975446
22,delta_small_molecule_ehvi_100,13.459871721975446
23,delta_small_molecule_ehvi_100,13.459871721975446
24,delta_small_molecule_ehvi_100,13.459871721975446
25,delta_small_molecule_ehvi_100,14.830497029008825
26,delta_small_molecule_ehvi_100,14.830497029008825
27,delta_small_molecule_ehvi_100,14.830497029008825
28,delta_small_molecule_ehvi_100,14.830497029008825
29,delta_small_molecule_ehvi_100,14.833839270804367
30,delta_small_molecule_ehvi_100,15.310060291545108
