Compound,Neutral_formula,SMILES,BindingDB_ID,Source_URL,Activity_Assay,Activity_Target,Activity_Endpoint,Activity_Value,Activity_nM,Selectivity_fold,Activity_Evidence,Note
7,C31H38ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)[C@H](C)N(C)C,BDBM50619531,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619531&monomerid=50619531,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619531, support=14)"
8,C30H34ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C1(N)CC1,BDBM50619532,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619532&monomerid=50619532,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619532, support=14)"
9,C32H38ClF3N8O4,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C1(N)CC(C1)OC,BDBM50619533,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619533&monomerid=50619533,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619533, support=14)"
10,C29H34ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)CCN,BDBM50619534,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619534&monomerid=50619534,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619534, support=14)"
11,C35H42ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)CC1CC2(CCC2)CN1,BDBM50619535,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619535&monomerid=50619535,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619535, support=14)"
12,C31H36ClF3N8O3,[H][C@]1(CC[C@H]1N)C(=O)N1CCN2c3nc(OC[C@@H]4CCCN4C)nc4cc(c(Cl)c(OC[C@]2([H])C1)c34)-c1nc(N)cc(C)c1C(F)(F)F,BDBM50619536,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619536&monomerid=50619536,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619536, support=14)"
13,C33H40ClF3N8O4,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)CCC1(N)CCOC1,BDBM50619537,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619537&monomerid=50619537,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619537, support=14)"
14,C34H42ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)CC[C@@]1(C)CCCN1,BDBM50619538,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619538&monomerid=50619538,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619538, support=14)"
15,C32H38ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C[C@@H]1CCNC1,BDBM50619539,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619539&monomerid=50619539,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619539, support=14)"
16,C32H38ClF3N8O4,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C1CC(N)CCO1,BDBM50619540,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619540&monomerid=50619540,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619540, support=14)"
